row_id,region,year,ols,fe,re,dgmm,sgmm,sfa1,sfa2,sfa3,sfa3d,tfe,field_013
23,上海市,2012,1.22609,1.131452,1.160878,1.175015,1.112092,1.263465,1.295123,1.299463,0.950211,1.432715,0.952197
24,上海市,2013,1.11258,1.088033,1.121477,0.815196,1.24959,1.206121,1.046522,1.135773,0.80664,0.794824,1.085718
25,上海市,2014,1.06603,1.120695,0.862119,0.90379,0.908012,0.920218,1.187311,0.953009,0.88506,1.259257,1.142453
26,上海市,2015,1.14157,0.941511,1.365935,1.168478,0.876578,0.944091,0.802308,1.196229,1.308594,1.175236,1.137039
27,上海市,2016,1.09125,1.073484,1.289781,0.947238,1.057389,0.825149,1.095255,0.94643,0.992699,0.956251,1.028929
28,上海市,2017,0.99878,0.840347,0.82959,0.709966,0.790318,1.024882,0.748718,1.108251,0.989056,0.791416,1.02683
29,上海市,2018,0.95605,0.730291,0.83537,0.933777,0.821431,0.769862,1.03247,1.105589,0.917734,0.886156,0.868306
30,上海市,2019,1.02115,0.910645,1.070292,1.119685,1.08805,0.927034,0.962274,1.024514,0.924492,1.208158,0.737049
31,上海市,2020,0.93813,1.006083,0.864482,0.739243,0.739064,0.993643,0.801403,0.830456,0.757151,0.759919,0.8069
32,上海市,2021,0.85854,0.727533,0.653716,0.945979,0.914969,0.875991,0.861362,0.7338,0.690779,0.945172,0.98627
33,上海市,2022,0.90321,0.897424,0.963793,0.710622,0.981125,0.723637,1.075023,0.685106,0.828157,0.83055,0.785462
34,上海市,2023,0.94788,1.067315,1.27387,0.475265,1.047281,0.571283,1.288684,0.636412,0.965535,0.715928,0.584654
35,云南省,1990,0.6195,0.61118,0.687868,0.692917,0.537776,0.606013,0.493413,0.507655,0.606243,0.520938,0.699075
36,云南省,1991,0.56364,0.638707,0.513348,0.64281,0.560857,0.622553,0.618433,0.518669,0.441107,0.61017,0.554747
37,云南省,1992,0.63417,0.447265,0.55359,0.49505,0.453677,0.507847,0.451096,0.491562,0.473406,0.51956,0.754824
38,云南省,1993,0.51192,0.572412,0.493217,0.513259,0.52208,0.529723,0.445864,0.497553,0.512553,0.603117,0.588522
39,云南省,1994,0.55714,0.499339,0.614161,0.509151,0.582426,0.421707,0.526066,0.656337,0.577612,0.574665,0.431095
40,云南省,1995,0.36333,0.388686,0.379992,0.307038,0.334277,0.333042,0.39717,0.414828,0.433296,0.425928,0.298652
41,云南省,1996,0.59719,0.667531,0.679982,0.453905,0.522271,0.577027,0.65582,0.483119,0.691669,0.45197,0.650893
42,云南省,1997,0.30382,0.261921,0.219768,0.297237,0.308412,0.323706,0.323946,0.233878,0.257956,0.284665,0.221646
43,云南省,1998,0.3475,0.377163,0.319665,0.373702,0.410905,0.352824,0.352059,0.306544,0.259829,0.40777,0.255492
44,云南省,1999,0.35132,0.305835,0.347206,0.30764,0.292467,0.314052,0.351832,0.25658,0.284468,0.362832,0.41488
45,云南省,2000,0.351,0.352664,0.288933,0.417343,0.360273,0.319178,0.405703,0.249621,0.351365,0.27152,0.320537
46,云南省,2001,0.4181,0.492445,0.321674,0.328552,0.460026,0.441889,0.48693,0.475341,0.357137,0.453671,0.337821
47,云南省,2002,0.36273,0.352545,0.306671,0.305318,0.266844,0.25878,0.292246,0.296232,0.385532,0.261076,0.343586
48,云南省,2003,0.26413,0.307294,0.283588,0.263346,0.259045,0.30829,0.202754,0.232226,0.187078,0.186058,0.264761
49,云南省,2004,0.20875,0.212574,0.177648,0.183147,0.242833,0.183506,0.16948,0.236986,0.214255,0.184076,0.184963
50,云南省,2005,0.2074,0.195609,0.205007,0.223376,0.230065,0.235629,0.176881,0.186193,0.237664,0.181232,0.215804
51,云南省,2006,0.28789,0.29024,0.235018,0.327956,0.275849,0.279194,0.207818,0.257614,0.288504,0.328989,0.239385
52,云南省,2007,0.23482,0.252335,0.235057,0.200476,0.257301,0.188561,0.251278,0.266567,0.276915,0.235294,0.247619
53,云南省,2008,0.34964,0.325881,0.340912,0.391988,0.272473,0.361342,0.385593,0.313403,0.254858,0.31921,0.328902
54,云南省,2009,0.34172,0.328954,0.342852,0.376255,0.283542,0.34524,0.26798,0.284181,0.399342,0.349447,0.262953
55,云南省,2010,0.252,0.224653,0.284921,0.231739,0.250138,0.207295,0.1915,0.204125,0.300142,0.236804,0.25676
56,云南省,2011,0.17968,0.143598,0.139009,0.210917,0.126218,0.195291,0.133597,0.185464,0.214475,0.151613,0.190156
57,云南省,2012,0.17016,0.175853,0.152475,0.190595,0.125037,0.161597,0.139587,0.1892,0.135842,0.191066,0.136205
58,云南省,2013,0.20939,0.221729,0.205181,0.192818,0.227978,0.170072,0.203897,0.200932,0.149911,0.167358,0.239157
59,云南省,2014,0.19912,0.156537,0.146505,0.211196,0.154195,0.167653,0.176542,0.168072,0.184907,0.231447,0.238854
60,云南省,2015,0.24643,0.212932,0.183974,0.22325,0.244386,0.174151,0.290382,0.293211,0.266685,0.271715,0.210357
61,云南省,2016,0.16917,0.197218,0.164153,0.119418,0.125361,0.12335,0.141195,0.19171,0.167756,0.145235,0.192431
62,云南省,2017,0.14932,0.143332,0.138386,0.1582,0.122014,0.148579,0.145873,0.157543,0.150834,0.176925,0.173077
63,云南省,2018,0.2175,0.174459,0.184829,0.167816,0.156161,0.243661,0.197277,0.19657,0.24959,0.205973,0.169252
64,云南省,2019,0.17141,0.202322,0.17326,0.182966,0.195882,0.133724,0.129682,0.176131,0.159207,0.147275,0.161513
65,云南省,2020,0.21775,0.206723,0.17067,0.245051,0.1758,0.202113,0.215764,0.258387,0.206024,0.19557,0.245727
66,云南省,2021,0.17183,0.188697,0.151986,0.160454,0.196033,0.193873,0.202107,0.156718,0.12597,0.161817,0.185044
67,云南省,2022,0.20452,0.151556,0.217235,0.174304,0.153816,0.161478,0.214572,0.172248,0.149816,0.242197,0.235239
68,云南省,2023,0.23721,0.114415,0.282484,0.188154,0.111599,0.129083,0.227037,0.187778,0.173662,0.322577,0.285434
69,内蒙古自治区,1990,0.514,0.556477,0.531142,0.500153,0.516858,0.534617,0.538801,0.452305,0.374721,0.609697,0.589054
70,内蒙古自治区,1991,0.52227,0.396348,0.519437,0.546569,0.549875,0.517907,0.601538,0.534557,0.462389,0.611294,0.479948
71,内蒙古自治区,1992,0.82083,0.698923,0.861415,0.727685,0.605085,0.968657,0.763325,0.690066,0.729844,0.843595,0.717104
72,内蒙古自治区,1993,0.73769,0.85137,0.539408,0.872793,0.827956,0.545066,0.70592,0.521297,0.585764,0.545479,0.804682
73,内蒙古自治区,1994,0.67321,0.5799,0.714576,0.540941,0.709796,0.531711,0.759783,0.677092,0.472919,0.581206,0.525639
74,内蒙古自治区,1995,0.54767,0.648224,0.391346,0.593299,0.633897,0.535197,0.421731,0.549403,0.496488,0.614,0.638541
75,内蒙古自治区,1996,0.31656,0.275397,0.2301,0.333607,0.357852,0.285961,0.364329,0.367324,0.298443,0.314755,0.314363
76,内蒙古自治区,1997,0.45971,0.419224,0.396952,0.359665,0.456594,0.446935,0.340444,0.432845,0.459807,0.354654,0.529526
77,内蒙古自治区,1998,0.54278,0.581093,0.616536,0.582982,0.508751,0.385014,0.501581,0.497613,0.568837,0.442869,0.516643
78,内蒙古自治区,1999,0.46579,0.330277,0.483768,0.383438,0.396941,0.344325,0.491841,0.435117,0.454503,0.406159,0.547917
79,内蒙古自治区,2000,0.356,0.258994,0.37024,0.401803,0.378271,0.403398,0.419599,0.35579,0.383583,0.302404,0.255669
80,内蒙古自治区,2001,0.45762,0.530257,0.392298,0.393076,0.393671,0.376854,0.365056,0.413633,0.486719,0.377151,0.472986
81,内蒙古自治区,2002,0.29023,0.336013,0.203173,0.219592,0.25742,0.332931,0.337644,0.243204,0.339687,0.305734,0.248394
82,内蒙古自治区,2003,0.43326,0.451293,0.495473,0.31187,0.441064,0.478316,0.36634,0.480127,0.343147,0.406368,0.501348
83,内蒙古自治区,2004,0.36979,0.32994,0.33245,0.39719,0.427121,0.348485,0.296899,0.340297,0.405066,0.365968,0.26608
84,内蒙古自治区,2005,0.3506,0.30722,0.264082,0.363737,0.388468,0.350824,0.374059,0.291815,0.266516,0.396045,0.400739
85,内蒙古自治区,2006,0.35731,0.384878,0.296244,0.337992,0.330003,0.307803,0.331993,0.292135,0.285657,0.389652,0.419129
86,内蒙古自治区,2007,0.32,0.327702,0.336141,0.345344,0.326739,0.371814,0.288928,0.249427,0.325776,0.228099,0.237427
87,内蒙古自治区,2008,0.31946,0.263021,0.269484,0.357982,0.344743,0.32708,0.283553,0.258827,0.286112,0.32969,0.292179
88,内蒙古自治区,2009,0.18,0.192782,0.16281,0.210393,0.133666,0.185688,0.213251,0.162952,0.205943,0.186349,0.146986
89,内蒙古自治区,2010,0.2005,0.15338,0.185092,0.217954,0.215086,0.177844,0.218866,0.192632,0.162239,0.238816,0.229741
90,内蒙古自治区,2011,0.17742,0.191015,0.175524,0.15159,0.126629,0.132653,0.191107,0.191082,0.126588,0.154156,0.161815
91,内蒙古自治区,2012,0.22734,0.25127,0.258151,0.182255,0.181682,0.256217,0.219062,0.215831,0.229758,0.161305,0.23837
92,内蒙古自治区,2013,0.16955,0.151668,0.185772,0.125957,0.190214,0.140953,0.141596,0.165971,0.135746,0.146543,0.123773
93,内蒙古自治区,2014,0.22441,0.186955,0.230285,0.161128,0.230146,0.161788,0.211015,0.192972,0.19917,0.244149,0.231723
94,内蒙古自治区,2015,0.26714,0.259268,0.280986,0.301653,0.231998,0.241893,0.214358,0.274145,0.200881,0.275342,0.202783
95,内蒙古自治区,2016,0.16917,0.166163,0.134489,0.127919,0.168176,0.125382,0.138441,0.130583,0.156848,0.19667,0.15795
96,内蒙古自治区,2017,0.2673,0.226454,0.240228,0.279716,0.261558,0.248672,0.257514,0.210261,0.212089,0.230231,0.269045
97,内蒙古自治区,2018,0.13645,0.157634,0.11787,0.14109,0.118473,0.11732,0.162642,0.163069,0.153448,0.097677,0.140726
98,内蒙古自治区,2019,0.12923,0.093398,0.130258,0.096966,0.098504,0.152191,0.116318,0.151886,0.139846,0.105255,0.123479
99,内蒙古自治区,2020,0.16638,0.195043,0.133779,0.170759,0.129134,0.188325,0.197284,0.134682,0.138532,0.160778,0.165239
100,内蒙古自治区,2021,0.13524,0.122981,0.154769,0.141365,0.146947,0.157285,0.13446,0.115671,0.14785,0.143407,0.104553
101,内蒙古自治区,2022,0.1875,0.214116,0.209419,0.14886,0.174568,0.170078,0.141801,0.185199,0.217914,0.135887,0.142541
102,内蒙古自治区,2023,0.23976,0.305251,0.264069,0.156355,0.202189,0.182871,0.149142,0.254727,0.287978,0.128367,0.180529
103,北京市,1990,3.501,3.384697,2.898478,3.51896,3.514759,3.560692,3.624095,3.727445,2.725984,4.04292,4.124213
104,北京市,1991,3.53136,3.987051,4.019081,3.631867,2.605617,3.332054,3.656551,2.941238,3.332795,3.592986,3.423622
105,北京市,1992,3.06667,2.197114,2.578116,2.538863,2.284115,2.355415,2.583728,2.387983,2.9831,2.597068,3.374836
106,北京市,1993,2.99385,3.484418,2.757272,2.511388,2.682306,3.111624,2.456032,2.565247,2.234457,2.991122,3.397536
107,北京市,1994,2.67893,2.520926,2.015814,2.81459,2.103388,2.094869,3.074178,3.086073,2.40675,2.348751,2.444335
108,北京市,1995,2.33833,2.218119,2.776116,2.475944,2.647344,1.777273,1.792566,2.238603,2.172966,2.778922,2.799195
109,北京市,1996,2.48875,2.165038,2.280243,2.786156,2.065414,2.229746,2.191892,2.099012,1.747924,1.853696,2.63041
110,北京市,1997,2.27265,1.701463,2.210217,1.601898,1.713621,1.976362,2.699996,2.587545,2.016611,2.430119,1.814368
111,北京市,1998,2.17611,2.022913,2.520894,2.350831,2.483378,1.950405,1.908993,1.781125,1.968075,2.263721,2.296472
112,北京市,1999,1.84605,1.74524,1.46968,1.930528,2.170792,1.971326,2.012992,1.328069,2.005829,1.697686,1.425448
113,北京市,2000,1.9685,2.290094,1.752083,1.714839,1.749504,1.735449,2.223952,1.734012,2.111905,1.990626,1.888717
114,北京市,2001,1.89024,1.436751,1.725334,1.780169,1.433027,1.915889,1.374279,1.665753,2.218686,1.9956,1.917987
115,北京市,2002,1.66568,1.877757,1.861183,1.59534,1.845259,1.477393,1.728545,1.61901,1.703676,1.955094,1.312008
116,北京市,2003,1.65522,1.409616,1.872133,1.76423,1.473425,1.948836,1.484366,1.523412,1.743986,1.530083,1.825655
117,北京市,2004,1.63313,1.432153,1.156889,1.366632,1.374716,1.31558,1.352603,1.242155,1.486225,1.771957,1.775517
118,北京市,2005,1.4256,1.214355,1.037167,1.008498,1.055614,1.144044,1.559065,1.10782,1.040859,1.460812,1.158072
119,北京市,2006,1.50865,1.302376,1.751638,1.43728,1.435469,1.49829,1.407574,1.418195,1.794348,1.53928,1.266681
120,北京市,2007,1.45648,1.233654,1.279868,1.651518,1.57916,1.161092,1.699058,1.322587,1.568703,1.161587,1.739606
121,北京市,2008,1.40232,1.49012,1.056046,1.404845,1.073841,1.580149,1.447784,1.595813,1.175664,1.387583,1.601969
122,北京市,2009,1.36397,1.043148,1.017055,0.99339,1.353177,1.343547,1.05781,1.062598,1.073291,1.133783,1.43717
123,北京市,2010,1.26883,0.902128,0.894667,0.904741,1.270203,1.120227,1.003,1.030191,0.910159,1.183897,1.488963
124,北京市,2011,1.23387,0.907845,0.911633,1.198076,0.998017,1.377975,1.428662,1.236845,1.060685,0.997498,1.181518
125,北京市,2012,1.23625,0.986453,1.458145,1.196962,1.307903,1.476762,0.923269,1.237041,0.892758,1.384167,0.970333
126,北京市,2013,1.14833,1.091892,1.157198,1.058786,1.102916,1.244081,1.101722,0.974349,0.845472,1.16062,1.082143
127,北京市,2014,1.15985,0.864926,1.109411,1.35247,1.094866,0.828935,0.850868,1.13393,1.225895,0.946997,1.297736
128,北京市,2015,1.12243,1.338845,0.827129,1.263945,0.855156,0.929652,1.182008,0.915274,1.177406,0.884743,1.163588
129,北京市,2016,0.98847,1.005642,0.779044,0.734682,0.952818,1.080044,1.004634,1.043095,0.830445,0.721664,0.886066
130,北京市,2017,0.99338,1.047616,0.963875,0.711159,0.815702,0.923822,0.707593,1.096123,0.778361,1.056756,0.763848
131,北京市,2018,0.95618,1.016251,0.750165,0.675831,0.944461,0.882587,0.81858,0.808281,1.146541,0.938256,0.726298
132,北京市,2019,0.9059,0.662863,1.001705,1.060244,0.910997,0.781481,0.648378,0.99915,0.746604,0.885378,0.865893
133,北京市,2020,0.983,1.052075,0.732237,1.140152,0.928945,1.094364,1.143386,1.158839,1.05123,1.147751,0.998512
134,北京市,2021,0.96329,0.930252,0.744741,0.895612,0.819454,0.913154,1.06074,1.062271,0.876568,0.780402,0.986894
135,北京市,2022,0.85131,0.970459,0.638712,0.900226,0.654657,0.697461,0.629058,1.008445,0.8307,0.831168,0.689033
136,北京市,2023,0.73933,1.010666,0.532683,0.90484,0.48986,0.481768,0.197376,0.954619,0.784832,0.881934,0.391172
137,吉林省,1990,1.8725,1.623027,2.069843,2.014604,1.81155,1.753933,1.883192,1.491708,1.77631,1.682217,1.96017
138,吉林省,1991,1.42818,1.399547,1.185005,1.44672,1.493564,1.081462,1.146844,1.2559,1.527198,1.430253,1.264312
139,吉林省,1992,1.3325,1.298561,1.136076,0.94914,1.015285,1.074874,1.36985,1.364893,1.155198,1.59856,1.27992
140,吉林省,1993,1.515,1.416843,1.711329,1.420343,1.684665,1.62814,1.459687,1.537331,1.769626,1.654229,1.771353
141,吉林省,1994,1.15393,1.26601,1.117926,0.888548,1.366287,1.010403,1.249509,1.02792,1.276557,1.0136,1.132016
142,吉林省,1995,1.07133,1.169317,0.963332,0.805525,0.799493,0.958436,1.218298,0.819505,1.021227,1.256556,1.179634
143,吉林省,1996,0.9925,1.178504,1.036597,0.916296,1.186623,1.00435,0.943292,0.853649,1.014474,1.028041,1.136333
144,吉林省,1997,1.05029,1.130337,1.196337,1.117093,0.968812,0.917747,1.201547,1.249409,1.099679,0.797782,0.968245
145,吉林省,1998,1.03083,1.009299,0.789721,1.028761,1.207631,0.973519,1.215321,1.20691,0.955242,0.87192,0.926544
146,吉林省,1999,1.04316,0.769423,0.751001,0.789942,1.097799,0.980934,1.137553,1.243903,1.05771,1.117911,0.824783
147,吉林省,2000,0.888,1.036598,0.706173,1.058816,0.861973,0.885167,0.692773,0.903611,1.054145,0.753752,0.716101
148,吉林省,2001,0.78452,0.875105,0.612854,0.731216,0.699725,0.565854,0.858614,0.775016,0.933654,0.656733,0.896993
149,吉林省,2002,0.89886,0.787459,0.754147,0.800924,0.660207,0.908122,0.995914,0.868348,0.870199,1.024804,1.056561
150,吉林省,2003,0.79413,0.704219,0.707022,0.939575,0.586854,0.873765,0.817454,0.891451,0.632024,0.721642,0.605349
151,吉林省,2004,0.63938,0.620155,0.73218,0.65261,0.642271,0.508738,0.76351,0.608806,0.5935,0.58671,0.702526
152,吉林省,2005,0.6506,0.720579,0.595585,0.662987,0.482244,0.723031,0.72903,0.566725,0.534969,0.688504,0.548365
153,吉林省,2006,0.70577,0.835807,0.599198,0.68593,0.735263,0.625149,0.509897,0.578477,0.726871,0.720138,0.640027
154,吉林省,2007,0.68611,0.709693,0.537033,0.70159,0.754626,0.578186,0.70596,0.553664,0.52434,0.776547,0.820959
155,吉林省,2008,0.69875,0.526732,0.628414,0.750702,0.509976,0.613516,0.637805,0.623075,0.725442,0.599164,0.685879
156,吉林省,2009,0.63828,0.749572,0.745302,0.729594,0.636648,0.522703,0.763927,0.49453,0.480405,0.737419,0.732096
157,吉林省,2010,0.63667,0.558026,0.548839,0.662541,0.528039,0.741163,0.545624,0.616956,0.698806,0.565297,0.594838
158,吉林省,2011,0.55032,0.533054,0.499572,0.475286,0.633537,0.401439,0.563751,0.407795,0.612179,0.419357,0.396684
159,吉林省,2012,0.5275,0.538931,0.430741,0.382675,0.468504,0.431738,0.373296,0.499859,0.586902,0.438785,0.617476
160,吉林省,2013,0.54455,0.559275,0.526994,0.506835,0.541528,0.639633,0.458746,0.583551,0.401074,0.417514,0.472572
161,吉林省,2014,0.54588,0.485333,0.427961,0.615668,0.393046,0.568138,0.407261,0.60665,0.440603,0.596884,0.503352
162,吉林省,2015,0.45186,0.501331,0.500283,0.54048,0.492944,0.327791,0.483351,0.495746,0.405939,0.421208,0.505655
163,吉林省,2016,0.44542,0.456174,0.427382,0.384341,0.504368,0.359371,0.472543,0.46053,0.478507,0.314273,0.482449
164,吉林省,2017,0.47392,0.358245,0.348866,0.529221,0.425475,0.522358,0.501691,0.502373,0.51452,0.363648,0.510283
165,吉林省,2018,0.40053,0.317769,0.361086,0.338513,0.335332,0.463485,0.281846,0.454365,0.307568,0.31958,0.294367
166,吉林省,2019,0.40205,0.386636,0.287909,0.333276,0.307095,0.307935,0.407861,0.348168,0.418837,0.431172,0.306475
167,吉林省,2020,0.47513,0.467461,0.429024,0.363646,0.34907,0.458999,0.358173,0.380703,0.346523,0.512693,0.348908
168,吉林省,2021,0.44317,0.444217,0.371213,0.509859,0.366609,0.346187,0.472332,0.420153,0.406295,0.331913,0.374856
169,吉林省,2022,0.38905,0.447323,0.408909,0.461201,0.272948,0.315452,0.355928,0.35699,0.403956,0.314269,0.326306
170,吉林省,2023,0.33493,0.450429,0.446605,0.412543,0.179287,0.284717,0.239524,0.293827,0.401617,0.296625,0.277756
171,四川省,1990,1.5775,1.169511,1.497016,1.789579,1.681789,1.614445,1.106916,1.140958,1.641783,1.737033,1.17508
172,四川省,1991,1.78136,2.077391,1.580159,1.740375,1.270113,1.503026,2.025589,1.968283,1.903494,1.868722,1.406298
173,四川省,1992,1.5475,1.377879,1.145429,1.359463,1.312713,1.383465,1.098849,1.253073,1.517401,1.459215,1.762603
174,四川省,1993,1.29462,1.158939,1.432453,0.93356,1.500174,1.161619,0.915422,1.242481,1.337777,1.390844,1.325647
175,四川省,1994,1.08214,0.762575,1.133328,0.975541,1.006198,0.847047,0.987001,0.92652,1.060511,0.911597,0.943196
176,四川省,1995,1.20733,0.899523,0.988287,1.272106,1.13336,1.266021,1.079959,0.942263,1.385028,0.873022,1.30101
177,四川省,1996,1.02688,1.219044,1.05153,0.737389,0.787192,0.962141,0.840908,0.955887,1.049528,0.802914,1.200581
178,四川省,1997,1.11206,1.325619,0.860078,1.281014,0.791119,0.804697,1.170342,0.911955,1.219439,1.064263,0.899367
179,四川省,1998,0.90861,0.841138,0.999935,0.735157,0.918678,0.747042,0.954414,1.056615,0.913299,1.036761,0.791246
180,四川省,1999,0.98711,0.748847,1.169443,0.942083,0.88566,0.768649,1.020913,1.001339,0.751552,1.065985,1.136168
181,四川省,2000,0.82925,0.667737,0.977976,0.809083,0.667571,0.772703,0.67957,0.649999,0.654751,0.703362,0.660323
182,四川省,2001,0.77881,0.85585,0.773927,0.786139,0.906208,0.803662,0.546631,0.866083,0.82511,0.861979,0.807501
183,四川省,2002,0.89136,1.067319,0.637192,0.949231,0.633234,0.799108,0.855567,0.774925,1.05771,0.983112,1.06764
184,四川省,2003,0.77391,0.549192,0.846792,0.823157,0.79015,0.762978,0.69533,0.836259,0.897902,0.774114,0.748219
185,四川省,2004,0.66583,0.547168,0.756466,0.617054,0.47159,0.531947,0.555465,0.514343,0.714339,0.74243,0.500247
186,四川省,2005,0.7678,0.776653,0.559104,0.794865,0.649029,0.852742,0.583444,0.62502,0.674036,0.813469,0.614954
187,四川省,2006,0.71385,0.666647,0.711362,0.750259,0.73207,0.543337,0.804283,0.632817,0.637215,0.738781,0.824435
188,四川省,2007,0.60796,0.675866,0.711846,0.576452,0.552164,0.541488,0.44523,0.493781,0.571455,0.513437,0.505199
189,四川省,2008,0.55071,0.489656,0.449603,0.625936,0.580761,0.537508,0.54725,0.612785,0.528999,0.539485,0.418311
190,四川省,2009,0.57138,0.613198,0.557654,0.42474,0.48934,0.477456,0.426397,0.607267,0.537313,0.451715,0.625374
191,四川省,2010,0.52667,0.452312,0.57383,0.442843,0.564403,0.449268,0.498896,0.619134,0.612619,0.419359,0.558072
192,四川省,2011,0.4921,0.486654,0.555499,0.516057,0.524969,0.505266,0.350004,0.483904,0.474637,0.490532,0.514419
193,四川省,2012,0.48672,0.488846,0.3641,0.420165,0.504367,0.495641,0.431301,0.509371,0.423222,0.571394,0.524941
194,四川省,2013,0.49227,0.538424,0.586548,0.363041,0.3982,0.571588,0.412357,0.492883,0.521903,0.406745,0.561364
195,四川省,2014,0.51309,0.558029,0.537147,0.600595,0.487562,0.572196,0.371055,0.569138,0.585921,0.59567,0.375586
196,四川省,2015,0.565,0.441559,0.522184,0.492742,0.442649,0.445553,0.49329,0.465667,0.490138,0.603623,0.464503
197,四川省,2016,0.43861,0.500275,0.410373,0.338397,0.358924,0.315703,0.392123,0.413079,0.347187,0.378776,0.317125
198,四川省,2017,0.515,0.540575,0.486546,0.385297,0.529085,0.370434,0.399027,0.493133,0.417227,0.432868,0.536841
199,四川省,2018,0.47395,0.44551,0.496924,0.517526,0.374608,0.540622,0.498611,0.342242,0.341986,0.392395,0.465155
200,四川省,2019,0.39321,0.323553,0.326219,0.281696,0.402662,0.325495,0.411088,0.346882,0.354231,0.440909,0.382007
201,四川省,2020,0.37613,0.404368,0.432209,0.348367,0.433525,0.407904,0.317149,0.364409,0.433164,0.417266,0.417544
202,四川省,2021,0.48415,0.369752,0.578366,0.487506,0.514802,0.348909,0.519929,0.513437,0.484417,0.437847,0.455209
203,四川省,2022,0.43214,0.364305,0.506696,0.380511,0.492155,0.39975,0.323502,0.507509,0.42815,0.42019,0.378652
204,四川省,2023,0.38013,0.358858,0.435026,0.273516,0.469508,0.450591,0.127075,0.501581,0.371883,0.402533,0.302095
205,天津市,1990,1.5475,1.620852,1.342379,1.797189,1.542269,1.637147,1.17415,1.484501,1.755422,1.787285,1.56378
206,天津市,1991,1.68364,1.862135,1.312748,1.857438,1.445385,1.763693,1.344232,1.774468,1.545662,1.505743,1.293117
207,天津市,1992,1.5375,1.21012,1.552491,1.426631,1.617804,1.756425,1.263764,1.807577,1.550292,1.159275,1.255015
208,天津市,1993,1.53808,1.520112,1.797274,1.828789,1.192271,1.346863,1.73389,1.182627,1.165432,1.3213,1.765343
209,天津市,1994,1.18464,1.004838,0.831916,0.855277,1.061878,0.991084,1.174064,1.277851,1.01916,1.240748,1.380097
210,天津市,1995,1.31933,1.186569,1.184233,1.188785,1.458034,0.970462,1.321061,1.519489,1.346366,1.063554,1.104427
211,天津市,1996,1.21656,1.433415,1.126367,0.914113,0.938055,0.919685,0.939393,1.139044,0.947727,1.283072,1.238437
212,天津市,1997,1.10206,0.836419,1.023504,1.041887,0.96374,1.235959,1.249603,0.855606,0.809771,0.792182,1.208441
213,天津市,1998,1.02222,0.935875,0.900455,0.726493,0.787765,0.873315,0.939749,1.092827,0.88365,1.155305,0.910043
214,天津市,1999,0.86184,0.992601,0.871003,0.990739,0.833315,0.786879,0.966763,0.688896,0.640504,0.866375,0.946397
