dataset_id,数据集编号,field_en,英文字段,field_cn,中文字段,definition_en,中文含义,unit,单位,frequency,频率,source,来源,notes,备注
SIMPLE_MODEL_RESULTS,SIMPLE_MODEL_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SPATIAL_WEIGHT_SENSITIVITY,SPATIAL_WEIGHT_SENSITIVITY,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_By_Zone_Metrics,ML_SHAP_By_Zone_Metrics,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_By_Zone_Result,ML_SHAP_By_Zone_Result,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
Feature_Importance,Feature_Importance,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SHAP_Values,SHAP_Values,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_Core_Result,ML_SHAP_Core_Result,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
URBAN_RURAL_INDICATORS,URBAN_RURAL_INDICATORS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
URBAN_RURAL_INDICATORS,URBAN_RURAL_INDICATORS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
Feature_Importance,Feature_Importance,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_National_Result,ML_SHAP_National_Result,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SHAP_Values,SHAP_Values,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
TABLE_A3_SUBSYSTEM_CORRELATION,TABLE_A3_SUBSYSTEM_CORRELATION,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
工业机器人安装密度(2006-2023年)(1)(1),工业机器人安装密度(2006-2023年)(1)(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
工业机器人安装密度(2006-2023年)(1),工业机器人安装密度(2006-2023年)(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
城镇化率,城镇化率,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
城镇化率(1),城镇化率(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
绿色全要素生产率（ML累乘）,绿色全要素生产率（ML累乘）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
绿色全要素生产率（ML累乘）(1),绿色全要素生产率（ML累乘）(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
各省全要素生产率1990-2023,各省全要素生产率1990-2023,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
各省全要素生产率1990-2023(1),各省全要素生产率1990-2023(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000-2023省级数字专利数据(1),2000-2023省级数字专利数据(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000-2023省级数字专利数据,2000-2023省级数字专利数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
中部六省数据,中部六省数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
省级碳排放（萌萌数据屋）,省级碳排放（萌萌数据屋）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
省级碳排放（萌萌数据屋）(1),省级碳排放（萌萌数据屋）(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
战略性新兴产业业务收入,战略性新兴产业业务收入,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
战略性新兴产业业务收入(1),战略性新兴产业业务收入(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省泰尔,00-23年各省泰尔,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省泰尔(1),00-23年各省泰尔(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
各省数字贸易指数数据（1990-2022）(1),各省数字贸易指数数据（1990-2022）(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
各省数字贸易指数数据（1990-2022）,各省数字贸易指数数据（1990-2022）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
公司资料(1),公司资料(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
计算结果(1),计算结果(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
1997-2023年市场化指数和各分项指数,1997-2023年市场化指数和各分项指数,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
1997-2023年市场化指数和各分项指数(1),1997-2023年市场化指数和各分项指数(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
公司资料,公司资料,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
计算结果,计算结果,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP,00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(2),00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(2),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1)(1),00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1)(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
07-23各省环境保护支出(1),07-23各省环境保护支出(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1),00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
07-23各省环境保护支出,07-23各省环境保护支出,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
国内生产总值2010-2023,国内生产总值2010-2023,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
地方财政一般预算支出2010-2023,地方财政一般预算支出2010-2023,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
地方财政一般预算支出2010-2023(1),地方财政一般预算支出2010-2023(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
政府干预程度or支持力度2010-2023,政府干预程度or支持力度2010-2023,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
政府干预程度or支持力度2010-2023(1),政府干预程度or支持力度2010-2023(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
地方财政一般预算收入2010-2023,地方财政一般预算收入2010-2023,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
地方财政一般预算收入2010-2023(1),地方财政一般预算收入2010-2023(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
国内生产总值2010-2023(1),国内生产总值2010-2023(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000年-2023年金融发展水平,2000年-2023年金融发展水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000年-2023年金融发展水平(1),2000年-2023年金融发展水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1),31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1),31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(1)2000-2023年税负水平(1),(1)2000-2023年税负水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(2)2000-2023年财政支持力度(1),(2)2000-2023年财政支持力度(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(9)2000-2023年城乡居民收入差距(1),(9)2000-2023年城乡居民收入差距(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(8)2003-2023年金融发展水平(1),(8)2003-2023年金融发展水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(6)(7)2000-2023年产业结构,(6)(7)2000-2023年产业结构,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(4)2000-2023年社会消费水平,(4)2000-2023年社会消费水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(10)2000-2023年人口密度,(10)2000-2023年人口密度,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(6)(7)2000-2023年产业结构(1),(6)(7)2000-2023年产业结构(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(5)2000-2023年城镇化水平(1),(5)2000-2023年城镇化水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(8)2003-2023年金融发展水平,(8)2003-2023年金融发展水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(3)2000-2023年经济发展水平,(3)2000-2023年经济发展水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
衡量方式与合并数据,衡量方式与合并数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(9)2000-2023年城乡居民收入差距,(9)2000-2023年城乡居民收入差距,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(10)2000-2023年人口密度(1),(10)2000-2023年人口密度(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(2)2000-2023年财政支持力度,(2)2000-2023年财政支持力度,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(4)2000-2023年社会消费水平(1),(4)2000-2023年社会消费水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(3)2000-2023年经济发展水平(1),(3)2000-2023年经济发展水平(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(1)2000-2023年税负水平,(1)2000-2023年税负水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
衡量方式与合并数据(1),衡量方式与合并数据(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
(5)2000-2023年城镇化水平,(5)2000-2023年城镇化水平,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data,data,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
markov结果（3）,markov结果（3）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data,data,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
markov结果（5）,markov结果（5）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data,data,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
markov结果（4）,markov结果（4）,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
w2,w2,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
距离平方倒数矩阵w2,距离平方倒数矩阵w2,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data1,data1,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
所有省级矩阵汇总(按需自取),所有省级矩阵汇总(按需自取),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
w02,w02,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
距离平方倒数矩阵w02,距离平方倒数矩阵w02,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
全国各地区-经纬度数据,全国各地区-经纬度数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
中国各城市空间权重矩阵,中国各城市空间权重矩阵,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
01-23分省份一二三产业数据(1),01-23分省份一二三产业数据(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
01-23分省份一二三产业数据,01-23分省份一二三产业数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000-2023地级市产业结构 - 面板(1),2000-2023地级市产业结构 - 面板(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2000-2023地级市产业结构 - 面板,2000-2023地级市产业结构 - 面板,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
01-23分省份一二三产业数据(1),01-23分省份一二三产业数据(1),entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
01-23分省份一二三产业数据,01-23分省份一二三产业数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
